,CO,H2,CH4,C2H6,C3H8,LFL,UFL
0,0.2960111661237538,0.1349902150621418,0.0022945322316353,0.2790191633601446,0.2876849232223243,0.05543386624400123,0.38728189267752255
1,0.2487067926206045,0.2868678971084952,0.0358554079897522,0.3274132370577305,0.1011566652234173,0.05484385603178512,0.4583773687898679
2,0.0128136931561231,0.3280030000062962,0.1439175271967816,0.2591851736169464,0.2560806060238526,0.03414338231065431,0.33721809706899714
3,0.1567977178760894,0.1932500790817207,0.1207615776834816,0.0154299551896186,0.5137606701690896,0.043111111455712184,0.3361438885890393
4,0.3657820337368772,0.0244747478863052,0.205119718900605,0.1766162781075007,0.2280072213687117,0.06398474158747205,0.37126136796065595
5,0.0415830463964338,0.2707411709556643,0.1260579557192781,0.2601873991204559,0.3014304278081677,0.035501823415032066,0.31762437845159663
6,0.1945679363666062,0.143685908070245,0.100776192779145,0.3775851366589328,0.1833848261250708,0.04870837661747939,0.335560103327758
7,0.4391982568604575,0.015988223526894,0.4209238193980874,0.0047884872846528,0.1191012129299081,0.07450874790791415,0.4230443616010176
8,0.2855439736574531,0.2278831469009714,0.0327168371042648,0.3548131797391117,0.0990428625981987,0.05754443905425641,0.4444360651139857
9,0.1655372688639544,0.0428436162173919,0.2783973387120295,0.2289951455354087,0.2842266306712153,0.04666631342585728,0.259045115103966
10,0.0899822859588983,0.1945788359706957,0.0252242531984,0.1763508023822883,0.5138638224897174,0.03577255923837794,0.2913253645385983
11,0.0779504847003263,0.0679409062959824,0.4196431049444837,0.0679325045336709,0.3665329995255366,0.04027115915948214,0.2236834759723812
12,0.0212209844799919,0.1995770724240475,0.1806669706203116,0.1765923088317585,0.4219426636438904,0.03263751294332909,0.25974158118293167
13,0.1388141255279286,0.2283426348173649,0.1373281495882997,0.2383916195869864,0.2571234704794202,0.04438518050560862,0.353419418138659
14,0.1790648240354284,0.3181577839068518,0.3318759736568298,0.1204415988847492,0.0504598195161406,0.05348953725780742,0.4473758156692693
